,Calle,Capacidadenestemomento,Colonia,Delegacinomunicipio,Horariodeatencin,MedicamentosExistentes,MedicamentosFaltantes,Nombredelalbergue,Nmerodepersonasquesepuederecibir,NmerooAproximado,Serequierevoluntarios,Timestamp,Verificado,VveresFaltantes,SerecibendonativosCules,VveresExistentes,Estado,latitud,longitud,Hora
0,Nayarit,Desconozco,Roma sur,Cuahutemoc,,,,De animales,Perros y gatos,31,,9/20/2017 20:09:36,Sí,Croquetas y latas,,,,19.409874,-99.162396,1506111535
2,Calle 10 y Canarios s/n,,Tolteca,Álvaro Obregón,,,,Salón de usos múltiples,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:12:23,Sí,,,,,19.390452,-99.194772,1506111535
4,Municipio Libre y Calle Uxmal 807-B,,Sta. Cruz Atoyac,Benito Juárez,,,,Deportivo Benito Juárez,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,807,,9/20/2017 20:15:02,Sí,,,,,19.371339,-99.159659,1506111535
5,Agricultura,nose,Escandon,Cuauhtémoc,24,nada,nada,,nose,0,,9/20/2017 20:15:18,Sí,nada,,nada,,19.403010,-99.177658,1506111535
6,Eje Central Lázaro Cárdenas y Xola (Eje 4 Sur),,Narvarte Poniente,Benito Juárez,,,,Secretaría de Comunicaciones y Transportes,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:20:35,Sí,,,,,19.394302,-99.146953,1506111535
7,Concepción Beistegui,,Narvarte Poniente,Benito Juárez,,,,"Centro Universitario México (CUM), Gimnasio",info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,1104,,9/20/2017 20:23:02,Sí,,,,,19.389261,-99.161829,1506111535
8,Calzada del Hueso,,Los Girasoles,Coyoacán,,,,Deportivo Rosario Iglesias,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,400,,9/20/2017 20:24:15,Sí,,,,,19.303251,-99.121118,1506111535
9,Calzada Taxqueña,,ExEjido de San Francisco Culhuacan,Coyoacán,,,,Polideportivo Los Culhuacanes,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,1811,,9/20/2017 20:27:44,Sí,,,,,19.337843,-99.125726,1506111535
10,Cuauhtémoc s/n esquina Aguayo,,El Carmen,Coyoacán,,,,Gimnasio Coyoacán,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:30:31,Sí,,,,,19.351453,-99.162929,1506111535
11,Coras s/n,,Ajusco,Coyoacán,,,,Gimnasio Ajusco,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:31:54,Sí,,,,,19.313782,-99.161825,1506111535
12,Calzada de las Bombas s/n casi esq Cafetales,,CTM Culhuacán IX-A,Coyoacán,,,,Centro de Desarrollo Comunitario,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:34:04,Sí,,,,,19.310530,-99.106801,1506111535
14,Canal de Miramontes y Av. del Parque,,El Centinela,Coyoacán,,,,"Casa de las Letras ""Las Américas - Salvador Allende""",info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,2133,,9/20/2017 20:38:18,Sí,,,,,19.333646,-99.137283,1506111535
15,De La Virgen s/n y María Sequeira,,CTM Culhuacán,Coyoacán,,,,Dirección territorial Culhuacanes,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,0,,9/20/2017 20:44:13,Sí,,,,,19.319862,-99.119467,1506111535
16,Avenida Insurgentes Sur,200,Miguel Hidalgo Villa Olímpica,Tlalpan,24 hrs,,,Villa Olímpica,200,3493,sí,9/20/2017 21:03:27,Sí,,sí,,,19.297530,-99.185809,1506111535
17,Av. Insurgentes Sur,120,Tlalpan Centro II,Tlalpan,24 hrs,,,Deportivo La Joya,120,4342,sí,9/20/2017 21:05:32,Sí,,sí,,,19.278081,-99.167933,1506111535
18,Calzada del Hueso,,Los Girasoles,Coyoacán,,,,Deportivo de los Electricistas. Club deportivo Los Girasoles III,info tomada de http://cdmx.gob.mx/comunicacion/nota/listado-de-albergues-cdmx,381,,9/20/2017 21:06:35,Sí,,,,,19.305876,-99.128564,1506111535
19,Nicolás San Juan,,Narvarte Poniente,Benito Juárez,24hrs,,,CUM,40-60,728,,9/20/2017 21:06:55,Sí,,,,,19.389358,-99.161444,1506111535
20,Bajío,100,Roma,Cuauhtemoc,,,,Bajío #365,Sin datos,365,,9/20/2017 21:17:10,Sí,,,,,19.402420,-99.170432,1506111535
21,Tlalpan,Lleno,Educacion,Coyoacan,,,,Taxqueña y tlalpan,0,2191,,9/20/2017 21:30:32,Sí,,,Tortas,,19.341652,-99.143356,1506111535
24,Alfonso Caso,0,Los Alpes,Alvaro Obregon,24 hrs,nada,nada,Albergue Canino (Relevo),8 perros,89,,9/21/2017 2:15:03,Sí,nada,,"Agua, comida para perros",Ciudad de México,19.359819,-99.190465,1506111535
25,Ensenada,,Condesa,Cuauhtémoc,24-jul,Croquetas y veterinarios,Ninguno,Ensenada 22,Perritos,22,,9/21/2017 8:24:33,Sí,Ninguno,,Ninguno,Ciudad de México,19.410275,-99.174424,1506111535
26,Insurgentes Sur,150,NA,Tlalpan,24 horas,Varios,"Antiinflamatorios, antibióticos, analgésicos, jarabe para tos, shampoo para piojos.",Villa Olímpica,200,0,,9/21/2017 9:14:53,Sí,No,,"Sí, de todo",Ciudad de México,19.298384,-99.188257,1506111535
29,Jalapa,200,Roma sur,Cuahutemoc,24hrs,"Aspirina, paracetamol",Ninguno,Werto roma verde,200,234,,9/21/2017 15:23:56,Sí,Nunguno,,"Arros , chile ,huevo , verduras , avenas",Ciudad de México,19.411203,-99.159642,1506111535
33,Monterrey,0,Roma norte,Cuauhtémoc,9:00 am 2:00 am,No,No,Checkpoint,Dan comida,227,,9/21/2017 16:46:47,Sí,No,,Comida agua,Ciudad de México,19.411688,-99.162692,1506111535
37,Colima,60,Roma Norte,Cuauhtémoc,24 horas hasta domingo en la mañana,Paracetamol,Nada,Colegio Coronel Hall,120,71,,9/21/2017 18:10:36,Sí,Leche,,"Atún, galletas, sandwiches, turras morras, jugos",,19.420779,-99.156650,1506111535
42,Eje 8 Sur Popocatépetl,,Real De Mayorazgo,Benito Juarez,24 hrs.,"Aspirinas, tempra","Ibuprofeno, paracetamol, ketorolaco",Centro Recreativo Niños Heroes DIF,20,275,,9/21/2017 21:06:23,Sí,"Pañales adulto, pañales niño, cepillo de dientes, jabón, shampoo, pasta dental",,"Croquetas, agua",Ciudad de México,19.363467,-99.159354,1506111535
44,Boulevard,85,Granjas México,Venustiano Carranza,24 horas,Recopilando Información,"Metamizol, Metronidazol, Ceftriaxona, Ketorolaco, Metoclopramida, Butilhioscina, Clindamicina",Sala de Armas de la Magdalena Mixiuhca,100,5,,9/21/2017 23:03:43,Sí,"Aceite de Cocina, Café soluble, Azúcar, Sal, Leche en polvo para Bebé, Gerber, Chiles en lata, Verduras en lata, Té, Arroz, Frijol, Sopas, Galletas, Leche, Pinol, Gel antibacterial, Fibra para trastes, Cubetas, Jabón de baño, cepillo de dientes, pasta de dientes, desodorantes, rastrillos desechables, toallitas para bebé, talco para bebé, biberones, toallas sanitarias, Bolsa transparente de 50 x 60, material de papelería para talleres didácticos,",,Alimentos preparados listos para consumo,Ciudad de México,19.407600,-99.091551,1506111535
47,Prolongación Ojo de Agua o Cetis núm. 52,indefinida,Pueblo Santa Rosa Xochiac,"Álvaro Obregón, C.P. 01830",sin horario fijo,-,Lo básico,Albergue Ojo de Agua Santa Rosa Xochiac,indefinido,3,,9/22/2017 9:51:50,No,"Alimentos no perecederos para preparar, leche, leche en polvo para bebé, también cobijas, colchonetas, pañales y brigadistas/voluntarios que ayuden a limpiar y remover escombro con polines. Ayer recibieron algún apoyo médico.",,-,Ciudad de México,19.325923,-99.280019,1506111535
51,Cumbres de Acutzingo,66 personas,Narvarte Poniente,Benito Juárez,24 horas,Sin especificar pero tienen.,No,CENDI Cumbres de Acutzingo SEDESOL,70 personas,0,,9/22/2017 15:06:25,Sí,No.,,No sé.,Ciudad de México,19.393006,-99.147913,1506111535
