lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,dirección_completa,lat,lon,entidad,tipo_reporte,necesidades,delegacion,descripcion,Fecha de creación,Última actualización
NA,NA,303,,Rinconada de los personajes Edificio Pedro paramo,NA,,,,,,"http://maps.google.com/maps?q=loc:19.3082297,-99.1682659","Rinconada de los personajes, Coyoacan ,ciudad de mexico",19.3082297000,-99.1682659000,Cuudad de México,,,Coyoacan,Cuarteadura e la escalera que une el cuarto piso con el tercero tesegundo con el primero .comentario pongan la opcion para enviar foto y bicacion con gps.gracias,,
Tec de Monterrey CDMX,Derrumbe,"
",Ejidos de Huipilco,Calle del Puente,222,,,,10,,"https://www.google.com.mx/maps/place/Tec+de+Monterrey+Ciudad+de+M%C3%A9xico,+M%C3%A9xico/@19.2838273,-99.1383662,17.29z/data=!4m8!1m2!2m1!1sTec+de+Monterrey+CDMX,+mexico!3m4!1s0x0:0xefbfadbc06848b6c!8m2!3d19.2853955!4d-99.1355824?hl=es-419",,19.2838273000,-99.1383662000,,,,,,,
Casa,Grietas,1 av y 2av,,Holbein,217,,,,,,"http://maps.google.com/maps?q=loc:19.3823834,-99.1771395","Holbein 217 , Benito Juárez ,ciudad de mexico",19.3823834000,-99.1771395000,NA,,,Benito Juárez,Grietas en varias paredes no sabemos si este seguro el edificio son 14 pisos más dos de sótano,,
barda,derrumbe,10 de abril y anenecuilco,uh emiliano zapata,,,,,,,,"https://www.google.com.mx/maps/place/10+de+Abril+%26+Anenecuilco,+Popular+Emiliano+Zapata,+04919+Ciudad+de+M%C3%A9xico,+CDMX/@19.3165437,-99.1111852,18.03z/data=!4m5!3m4!1s0x85ce018d2b6936e5:0xe1f43f046db77ffc!8m2!3d19.3166315!4d-99.1099325?hl=es-419",,19.3165437000,-99.1111852000,cdmx,,,,,,
Casa,Grietas,10 y 11,,Doctor Andrade,72,,,,,,"http://maps.google.com/maps?q=loc:19.4227547,-99.1450376","Dr. Andrade 72, Doctores, 06720 Ciudad de México, CDMX, Mexico",19.4227547000,-99.1450376000,Ciudad de México,,,Doctores,Grietas en muros exteriores e interiores de varios edificios y departamentos de la unidad,,
Departamentos,Grietas,101 y congreso de la Union y Oriente 95 y 101,,19 Poniente,306,,,,,,"http://maps.google.com/maps?q=loc:19.3819388,-98.9907314","Pte. 19 306, La Perla, 57820 Nezahualcóyotl, Méx., Mexico",19.3819388,-98.9907314,"Cholula, Puebla",,,NA,Grietas importantes en la parte baja de la casa,,
NA,NA,101 y oriente 95,,norte 56,5122,,,,,,"http://maps.google.com/maps?q=loc:19.4643592,-99.1154367","Nte. 56 5122, Tablas de San Agustín, 07860 Ciudad de México, CDMX, Mexico",19.4643592000,-99.1154367000,ciudad de México,,,Gustavo A. Madero,una grieta larga de un muro como de un metro o más de largo y como de 2 a 3 milímetros de ancho. la pared se ve como abultada,,
NA,NA,11 de abril y calle 2,,av. primero de mayo,85,,,,,,"http://maps.google.com/maps?q=loc:19.3944712,-99.1865928","Av. Primero de Mayo 85, 8 de Agosto, 03820 Ciudad de México, CDMX, Mexico",19.3944712000,-99.1865928000,Mexico,,,benito juarez,el condominio presenta grietas en varias áreas,,
NA,NA,11 de abril y calle 2,,primero de mayo,89 bis,,,,,,"http://maps.google.com/maps?q=loc:19.3316227,-99.3249133","Juárez 15-BIS, San Lorenzo Acopilco, 05410 San Lorenzo Acopilco, CDMX, Mexico",19.3316227000,-99.3249133000,mexico,,,benito juarez,El condominio presenta GRIETAS,,
Departamentos,Grietas,111a oriente y 113a oriente,,Shakespeare,39,,,,,,"http://maps.google.com/maps?q=loc:19.4273801,-99.1764974","Shakespeare 39, Anzures, 11590 Ciudad de México, CDMX, Mexico",19.4273801,-99.1764974,NA,,,Miguel Hidalgo,Cuarteaduras y muchas grietas,,
Vecindad,Posibilidad de fuga,12 de diciembre y 28 de agosto,,13 de septiembre,88,,,,,,"http://maps.google.com/maps?q=loc:19.3990723,-99.1787061","13 de Septiembre 88, Escandón II Secc, 11800 Ciudad de México, CDMX, Mexico",19.3990723000,-99.1787061000,Ciudad de México,,,Miguel Hidalgo,Apoyo para verificar vecindad habitación ubicada calle 13 de septiembre #88 como referencia la pulquería la pirata la vecindad incluye la pulquería se notan varias grietas en pared de habitación superior además de grieta en la tortilleria a un costado de la pulquería incluso dentro del inmueble en escaleras y habitaciones de los inquilinos no se reporta a la brevedad ya que dueño de la pulquería teme que cierren su negocio apoyo a la brevedad posible se detecta también una separación entre la vecindad y un edificio aledaño Se menciona también que en la azotea del inmueble hay un tanque de gas que abastece a la tortilleria indicando que no se ha cambiado desde hace 23 años solo se ha pintado y temen por su vida,,
