lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
residencial,Daño Mayor,Sur 20 y sur 16,Agrícola Oriental,Oriente 229,379,,,,,,https://goo.gl/maps/r9Qh6fcV7yF2,-99.0845049000,19.3943899000,Integrara iztacalco,,
Edificio del SNTE,Daño Mayor,República de Argentina y el Carmen,Centro,República de Venezuela,38,,,,,,"https://www.google.com.mx/maps/@19.4372918,-99.1305572,3a,75y,36.24h,101.04t/data=!3m6!1e1!3m4!1s5uTWa6RSRVkt45nt3NeDpA!2e0!7i13312!8i6656",-99.1311086000,19.4372966000,Ciudad de México,,
residencial,Daño Mayor,Mier y Pesado y Amores,Colonia del Valle,La Morena,322,0,0,0,0,0,"https://www.google.co.uk/maps/@19.3992589,-99.1633913,21z?hl=en",19.3992940000,-99.1633750000,CDMX,,
Registro Nacional de Población,Daño Mayor,Marina Nacional e Izcoatl,Colonia Tlaxpana,Circuito Interior Melchor Ocampo,171,,,,,,"https://www.google.com/maps/place/19%C2%B026'13.0%22N+99%C2%B010'11.7%22W/@19.43694,-99.1709383,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d19.4369401!4d-99.169928!5m1!1e1",19.4369400000,-99.1699280000,Ciudad de México,,
residencial,Daño Mayor,entre paroquia y jose maria rico,Del Valle Centro,amores,1636,0,0,0,0,0,"https://www.google.com.mx/maps/place/Amores+1636,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX/@19.3679305,-99.1724505,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff96613ff609:0x330697b6dd24c191!8m2!3d19.3679305!4d-99.1702618",-99.1724505000,19.3679305000,,,
residencial,Daño Mayor,baja california y manzanillo,Roma Norte,,,,,,,,"https://www.google.com.mx/maps/place/Manzanillo,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4080493,-99.1677978,17z/data=!4m5!3m4!1s0x85d1ff1575d4f951:0x9659fdd1a2187185!8m2!3d19.4114797!4d-99.166167",-99.168,19.408,,,
residencial,Daño Mayor,,Del Valle,Tlacoquemecatl,108,,,,,,https://goo.gl/maps/AJBNLZSJB8M2,-99.175,19.378,CDMX,,
Fuente del Pescador,Daño Mayor,,Naucalpan,Fuente del Pescador,,,,,,,https://goo.gl/maps/aqkJjRsUQEC2,-99.257,19.401,Edo Mex,,
Aeropuerto Internacional de al Ciudad de México,Daño Mayor,,,,,,,,,,"https://www.google.com.mx/maps/place/Mexico+City+International+Airport+(MEX)/@19.4240967,-99.0865854,16z/data=!4m5!3m4!1s0x85d1fc77bd93229f:0x2d07ef561bad244!8m2!3d19.4360762!4d-99.0719083?hl=en",-99.087,19.424,Ciudad de México,,
,Daños,san antonio abad y chavero,Tránsito,Alfredo Chavero,,,,,,,"https://www.google.com.mx/maps/place/Calz.+San+Antonio+Abad+%26+Calle+Alfredo+Chavero,+Tr%C3%A1nsito,+06820+Ciudad+de+M%C3%A9xico,+CDMX/@19.4170186,-99.1366756,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fec4b52eb657:0x2b90bf15a76ea43b!8m2!3d19.4170136!4d-99.1344869",-99.1366756000,19.4170186000,Ciudad de México,,
