,,Calle,Colonia,Delegaci’_n,Estado,Foto,Herramientas Faltantes,Herramientas Sobrantes,Hora,Hora del Reporte,Mano de Obra Faltante,Mano de Obra Sobrantes,Medicamentos Faltantes,Medicamentos Sobrantes,N’_mero Exterior  o Aproximado,N’_mero de Personas Atrapadas,N’_mero de Personas Desaparecidas,N’_mero de Personas Fallecidas,N’_mero de Personas Lesionadas,N’_mero de Personas Rescatadas,Otra Referencia de Ubicaci’_n ,Tipo de Infraestructura,Tipo de Uso,Tipo del Da’±o,Verificado,V’_veres Faltantes ,V’_veres Sobrantes ,latitud,longitud
0,0,Armenta Y L’_pez,,,Oaxaca,,,,,,,,,,,,,,,,,,,Cruz Roja Mexicana - Oaxaca,,,,17.05584526,-96.7251358
1,1,Av. Ignacio Allende,,,Chiapas,,,,,,,,,,,,,,,,,,,Cruz Roja de S Crist’_bal,,,,16.72674942,-92.64076233
2,2,Sierrav’_sta Y R’_o Bamba,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,17.05994,-96.725051
3,3,Laguna De Terminos Y Lago Cultezeo,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.442443,-99.174397
4,4,Av Coyoacan Y Providencia,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.398604,-99.166853
5,5,Escocia Y Nicolas,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.387305,-99.16245
6,6,Eugenia Y Edinburgo,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.386598,-99.163642
7,7,Peten Y Zapata,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.366511,-99.156891
8,8,Gabriel Mancera Y Escocia,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.38766,-99.163934
9,9,Yacatas Y Concepcion Beistegui,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.387366,-99.156062
10,10,Balsas #18 Y Miravalle,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.360722,-99.140568
11,11,Calz De Las Brujas Y Division Del Norte,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.296608,-99.13058
12,12,Paseo De Las Galias  Y Av Tlahuac,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.32238,-99.09726
13,13,Ermita Iztapalapa Y Calzada Dla Viga,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.357629,-99.121961
14,14,10 De Abril Y Anenecuilco,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.316634,-99.109938
