,,Calle,Colonia,Delegaci+//0AkgBf-n,Estado,Foto,Herramientas Faltantes,Herramientas Sobrantes,Hora,Hora del Reporte,Mano de Obra Faltante,Mano de Obra Sobrantes,Medicamentos Faltantes,Medicamentos Sobrantes,N+//0AkgBf-mero Exterior  o Aproximado,N+//0AkgBf-mero de Personas Atrapadas,N+//0AkgBf-mero de Personas Desaparecidas,N+//0AkgBf-mero de Personas Fallecidas,N+//0AkgBf-mero de Personas Lesionadas,N+//0AkgBf-mero de Personas Rescatadas,Otra Referencia de Ubicaci+//0AkgBf-n ,Tipo de Infraestructura,Tipo de Uso,Tipo del Da+//0Akv/9ALE-o,Verificado,V+//0AkgBf-veres Faltantes ,V+//0AkgBf-veres Sobrantes ,latitud,longitud,
0,0,Armenta Y L+//0AkgBf-pez,,,Oaxaca,,,,,,,,,,,,,,,,,,,Cruz Roja Mexicana - Oaxaca,,,,17.05584526,-96.7251358,
1,1,Av. Ignacio Allende,,,Chiapas,,,,,,,,,,,,,,,,,,,Cruz Roja de S Crist+//0AkgBf-bal,,,,16.72674942,-92.64076233,
2,2,Sierrav+//0AkgBf-sta Y R+//0AkgBf-o Bamba,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,17.05994,-96.725051,
3,3,Laguna De Terminos Y Lago Cultezeo,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.442443,-99.174397,
4,4,Av Coyoacan Y Providencia,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.398604,-99.166853,
5,5,Escocia Y Nicolas,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.387305,-99.16245,
6,6,Eugenia Y Edinburgo,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.386598,-99.163642,
7,7,Peten Y Zapata,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.366511,-99.156891,
8,8,Gabriel Mancera Y Escocia,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.38766,-99.163934,
9,9,Yacatas Y Concepcion Beistegui,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.387366,-99.156062,
10,10,Balsas +ACM-18 Y Miravalle,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.360722,-99.140568,
11,11,Calz De Las Brujas Y Division Del Norte,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.296608,-99.13058,
12,12,Paseo De Las Galias  Y Av Tlahuac,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.32238,-99.09726,
13,13,Ermita Iztapalapa Y Calzada Dla Viga,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.357629,-99.121961,
14,14,10 De Abril Y Anenecuilco,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.316634,-99.109938,
15,15,Av San Ana Y Ejido Santa Cruz,Col. San Francisco Culhuac+//0Akv/9AI0-n,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.329427,-99.124928,
16,16,Perif+//0Akv/9AKk-rico Y Circuito Cuemanco Norte,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.281995,-99.113168,
17,17,Rancho De Los Arcos Y Calz Del Hueso,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.303344,-99.12299,
18,18,Viaducto Y Av Coyoacan,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.400198,-99.167903,
19,19,Tlalpan Fovissste Y Calz De Tlalpan,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.340871,-99.143292,
20,20,Comonfort Y Jaime Nuno,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.445171,-99.135075,
21,21,Lerdo Y Magnolia,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.442598,-99.142839,
22,22,Mina 16 Y 2 De Abril,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.438887,-99.141669,
23,23,Laredo Y Amsterdam,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.414317,-99.170106,
24,24,Chimalpopoca Y Sim+//0AkgBf-n Bol+//0AkgBf-var,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.422269,-99.140019,
25,25,Tabasco Y Medell+//0AkgBf-n,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.417854,-99.166064,
26,26,Salamanca Esquina Oaxaca,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.417036,-99.169041,
27,27,Puebla 282 Esq Salamanca,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.421016,-99.170059,
28,28,Alvaro Obreg+//0AkgBf-n Y Valladolid,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.416907,-99.167314,
29,29,La Morena y Heriberto Frias,Narvarte Poniente,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.398836,-99.15941,
30,30,La Morena y Enrique Rebsamen,Narvarte Poniente,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.398892,-99.1586,
31,31,,,,Cdmx,,,,,,,,,,,,,,,,,,,CDMX,,,,,,
32,32,,,,Puebla,,,,,,,,,,,,,,,,,,,Puebla,,,,,,
33,33,,,,Morelos,,,,,,,,,,,,,,,,,,,Morelos - State,,,,,,
34,34,Calle Gabriel Mancera 740b,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.387547,-99.163825,
35,35,+ACI-Calle del Puente 222, Ejidos de Huipulco, San Bartolo el Chico, 14380 Tlalpan, CDMX+ACI-,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.283297,-99.135177,
36,36,Narciso Mendoza        Av. las Trancas,,,CDMX,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.293062,-99.12324,
37,37,MorelosMorelos        Comonfort        48,,,Morelos,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.445279,-99.135279,
38,38,Barrio 18        Ca+//0Akv/9ALE-averales        ,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.294597,-99.111725,
39,39,Barrio del Rosario        Pedro Ram+//0AkgBf-rez del Castillo,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.26345,-99.105373,
40,40,San Gregorio Atlapulco        Av. M+//0Akv/9AKk-xico,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.255266,-99.056425,
41,41,+ACI-Del Calvario 35
Santa Cruz Acalpixca
16500 Ciudad de M+//0Akv/9AKk-xico, CDMX+ACI-,,,Cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.244729,-99.073859,
42,42,+ACI-Av 16 de Septiembre
Santa Mar+//0AkgBf-a Tepepan
16020 Ciudad de M+//0Akv/9AKk-xico, CDMX+ACI-,,,cdmx,,,,,,,,,,,,,,,,,,,Derrumbe,,,,19.278074,-99.133672,
43,43,2da secci+//0A7QBf-n de Izapa,,2da secci+//0A7QBf-n de izapa,,,,,,,,,,,,,,,,,Viaducto y Amores,,Casa,Grietas en columnas riesgo de colapsar,,,,,,
44,44,Gustavo Diaz Ordaz,,Acapatzingo,Cuernavaca,,,,,,,,,,140,,,,,,Chapultepec y Marsella,,Oficinas,Grietas diagonales notables que soportan tanques de gas estacionario de 1000 litros  (3 tanques),,,,,,
45,45,U. Hab el coloso,,Acapulco guerrero,,+ACI-http://maps.google.com/maps?q+AD0-loc:16.846051,-99.8125646+ACI-,,,,,,,,,10,,,,,,Avenida prados y Avenida canal de castera,,Departamentos,Grietas en fachadas y escaleras grietas profundas con rriesco a colapsar estaleras de acceso al edif. Etap 10 edif. 39,,,,16.846051,-99.8125646,
46,46,Edificio 10 Departamento 402 Etapa 8 El Coloso,,+ACI-Acapulco, Gro.+ACI-,Acapulco,+ACI-http://maps.google.com/maps?q+AD0-loc:16.857814,-99.8166802+ACI-,,,,,,,,,402,,,,,,NA y NA,,Casa,+ACI-Grietas en escaleras y balcones. Podr+//0A7QBf-an desprenderse balcones y caer al frente a algun traunseunte, escaleras podr+//0A7QBf-an colapsar y evitar desalojo de edificio en caso de un sismo+ACI-,,,,16.857814,-99.8166802,
47,47,,,acatitla,mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3646763,-99.0055547+ACI-,,,,,,,,,,,,,,,,,,,,,,19.3646763,-99.0055547,
48,48,Coquimbo,Lindavista,Actualizado:20/SEP/2017 12:25 pm,CDMX,,,,,,+ACI-Ya no se est+//0A7f/9AOc- dejando pasar a voluntarios. Se necesita: Sueros, taladros,palas,herramientas para cortar metal. +ACI-,,,,911,,,,,,Sierravista y Ticom+//0A7f/9AOc-n,,residencial,Hay atrapados,,,,19.493558,-99.122916,
49,49,Sur 16 esquina con Oriente 245,,Agr+//0A7QBf-cola oriental,Ciudad de M+//0A7f/9AKk-xico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.394192,-99.0707937+ACI-,,,,,,,,,,,,,,,Sur 12 y sur 20,,,Es un,,,,19.394192,-99.0707937,
50,50,Otilio Monta+//0A7f/9ALE-o,,Altavista,Cuernavaca,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3116942,-99.2271845+ACI-,,,,,,,,,105,,,,,,Vergel y Cientificos,,Casa,Grietas fuertes en muros estructurales,,,,19.3116942,-99.2271845,
51,51,Iman,,Alvaro Obregon,Alvaro Obregon,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3095318,-99.1745424+ACI-,,,,,,,,,660,,,,,,Insurgentes Sur y Zacatepetl,,Oficinas,Edificio 30 afectado por grietas,,,,19.3095318,-99.1745424,
52,52,(Edificios Altuz) Romulo Ofarril,,Alvaro obregon,Cdmx,+ACI-http://maps.google.com/maps?q+AD0-loc:19.337851,-99.211961+ACI-,,,,,,,,,468,,,,,,Andr+//0A7f/9AKk-s Molina Enr+//0A7QBf-quez y Eje tres,,Departamentos,Grietas o corteaduras en casi todas las paredes del departamento.,,,,19.337851,-99.211961,
53,53,Uruguallos,,Alvaro Obregon,CDMX,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3870662,-99.2122348+ACI-,,,,,,,,,39,,,,,,Fray Servando y chimalpopocan y NA,,Departamentos,Grietas en paredes,,,,19.3870662,-99.2122348,
54,54,centenario,,alvaro obregon,cdmx,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3516365,-99.2483818+ACI-,,,,,,,,,3002,,,,,,Ni+//0A7f/9ALE-os h+//0A7f/9AKk-roes y Dr Jim+//0A7f/9AKk-nez,,Departamentos,grietas en la estructura del edificio y departamentos,,,,19.3516365,-99.2483818,
55,55,1 de April,,Alvaro Obregon,Ciudad de Mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3167042,-99.2702479+ACI-,,,,,,,,,8,,,,,,Amanecer ranchero y Cuarta avenida,,Casa,+ACI-Cuarteadura en muro de tabique de planta baja, a 45 grados, en X se ve de lado a lado del muro.+ACI-,,,,19.3167042,-99.2702479,
56,56,INSURGENTES SUR,,Alvaro Obregon,CIUDAD DE MEXICO,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3610398,-99.1835794+ACI-,,,,,,,,,1685,,,,,,Bosque de alf+//0A7f/9AKk-rez y Bosque de mayorazgo,,Departamentos,+ACI-PAREDES AGRIETADAS, PLAFONES CAIDOS, ESCALERAS DA+//0A7f/9AO8-ADAS+ACI-,,,,19.3610398,-99.1835794,
57,57,Insurgentes Sur,,Alvaro Obregon,Ciudad de Mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3581311,-99.1837581+ACI-,,,,,,,,,1768,,,,,,Marsella y Liverpool,,Departamentos,Grieta en muro,,,,19.3581311,-99.1837581,
58,58,Avenida Lomas del Plateros,,Alvaro Obregon,Ciudad de Mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3714919,-99.1949456+ACI-,,,,,,,,,D6,,,,,,,,edificio,Viga decorativa de cemento en la azotea con fractura y riesgo de ca+//0A7QBf-da,,,,19.3714919,-99.1949456,
59,59,Prolongacion Paseo de la Reforma,,Alvaro Obregon,Ciudad de Mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.4260979,-99.2071747+ACI-,,,,,,,,,355,,,,,,,,,Grietas de Falsa Pared.,,,,19.4260979,-99.2071747,
60,60,Javier martinez valle,,Alvaro obregon,Ciudad de mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3993497,-99.1238042+ACI-,,,,,,,,,21,,,,,,Roque velazco ceron y escuadron 201,,,Cuarteaduras en la estructura y cuarteaduras en los pilares ke soportan los tinacos de agua,,,,19.3993497,-99.1238042,
61,61,Melchor ocampo,,Alvaro obregon,Ciudad de M+//0A7f/9AKk-xico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.394717,-99.2122306+ACI-,,,,,,,,,38,,,,,,Art+//0A7QBf-culo 123 y Independencia,,Departamentos,,,,,19.394717,-99.2122306,
62,62,Francisco villa mz 18 lt 38,,Alvaro obregon,Colonia lomas de la era alvaro obregon,+ACI-http://maps.google.com/maps?q+AD0-loc:19.8236254,-101.036455+ACI-,,,,,23,,,,18,,,,,,Norte 3 y Norte 5,,Departamentos,+ACI-Se hizo una grieta en el centro del piso de la casa que la abri+//0A7QBf-. Asimismo, se hicieron gritas en las paredes y alredor de la casa y se rompieron una sisterna de agua, una pileta y los tubos y plomeria.+ACI-,,,,19.8236254,-101.036455,
63,63,Av central,,Alvaro obregon,Cuidad de mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3890213,-99.1944723+ACI-,,,,,,,,,220,,,,,,Diagonal san Antonio y Av central,,,Edificio de 15 pisos con muchas grietas en departamentos y pasillos,,,,19.3890213,-99.1944723,
64,64,Aureliano Rivera,,Alvaro obregon,Mexico,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3361636,-99.2056283+ACI-,,,,,,,,,,,,,,,Chilpancingo y Culiacan,,Oficinas,Grietas y fisuras en departamentos y estructuras,,,,19.3361636,-99.2056283,
65,65,Camino real de minas,,Alvaro Obregon,M+//0A7f/9AKk-xico D.F.,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3470377,-99.2137268+ACI-,,,,,,,,,17,,,,,,Bruno Traven y Pirineos,,Departamentos,Paredes con varias grietas,,,,19.3470377,-99.2137268,
66,66,Alejandro volta,,Alvaro Obregon,M+//0A7f/9AKk-xico D.F.,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3673655,-99.2686653+ACI-,,,,,,,,,10,,,,,,Herculano sanches y Calle reforma,,Casa,Grietas en todo el edificio,,,,19.3673655,-99.2686653,
67,67,Av de las torres,,Alvaro obregon,,+ACI-http://maps.google.com/maps?q+AD0-loc:19.3339007,-99.240356+ACI-,,,,,,,,,805,,,,,,Aldama y NA,,Casa,Grietas en todos los pisos y edificios,,,,19.3339007,-99.240356,
